"filename", "language", "Dart", "comment", "blank", "total"
"d:\VSCode\Flutter\watering_app\lib\features\home\presentation\widgets\schedule_item_card.dart", "Dart", 129, 14, 7, 150
"d:\VSCode\Flutter\watering_app\lib\features\home\presentation\widgets\slider_thumb_shape.dart", "Dart", 47, 3, 9, 59
"d:\VSCode\Flutter\watering_app\lib\features\home\presentation\widgets\slider_track_shape.dart", "Dart", 49, 5, 8, 62
"d:\VSCode\Flutter\watering_app\lib\features\home\providers\home_provider.dart", "Dart", 74, 3, 17, 94
"d:\VSCode\Flutter\watering_app\lib\features\home\providers\home_state.dart", "Dart", 29, 0, 7, 36
"d:\VSCode\Flutter\watering_app\lib\firebase_options.dart", "Dart", 68, 12, 7, 87
"d:\VSCode\Flutter\watering_app\lib\main.dart", "Dart", 29, 0, 6, 35
"d:\VSCode\Flutter\watering_app\lib\theme\styles.dart", "Dart", 28, 0, 4, 32
"d:\VSCode\Flutter\watering_app\lib\theme\theme.dart", "Dart", 79, 1, 3, 83
"Total", "-", 16240, 613, 1383, 18236
